BRIDGE NAME,EASTING,NORTHING,OWNER
CHURCH BRIDGE WHITESTONE,286825,93910,Devon County Council
CLAY WASTE BRIDGE,272872,84142,Devon County Council
COCKSLAND,277707,74414,Devon County Council
CORRIDGE FORD FOOTBRIDGE,281546,90731,Devon County Council
CRICKETFIELD BRIDGE,287246,79786,Devon County Council
CROMWELLS ARCH,281513,78479,Devon County Council
CUDDYFORD,275798,70930,Devon County Council
DEAL,275569,80714,Devon County Council
DILLY BRIDGE,279777,93304,Devon County Council
DUNSTONE,271839,75750,Devon County Council
FARLEY HILL,284898,81208,Devon County Council
FORDER BRIDGE,272327,88899,Devon County Council
GULLWELL,275318,69345,Devon County Council
HEATHFIELD SCHOOL BRIDGE,283086,76634,Devon County Council
HEIGHTLY,285949,78527,Devon County Council
HIGHER ASHTON,285806,84528,Devon County Council
HIGHER RANSCOMBE BRIDGE,286722,81907,Devon County Council
HOLBEAM LANE FOOTBRIDGE,282005,71758,Devon County Council
HOOKS,277768,73668,Devon County Council
HOOKS (NORTH) BRIDGE,277719,73722,Devon County Council
HYNER,283671,81668,Devon County Council
IDE,290194,90763,Devon County Council
IDEFORD COMBE,287324,75923,Devon County Council
IDEFORD MILL BRIDGE,288522,76687,Devon County Council
JARMANS HILL BRIDGE,292181,85485,Devon County Council
KENNEL COURT BRIDGE,292989,79096,Devon County Council
KENTON LODGE BRIDGE,293402,82849,Devon County Council
KINGS BRIDGE,275529,69913,Devon County Council
LANGAFORD BRIDGE,270184,84960,Devon County Council
LANGWORTHY BRIDGE,275993,73707,Devon County Council
LARCOMBE FOOTBRIDGE,289073,76694,Devon County Council
LEIGHON BRIDGE,275409,79341,Devon County Council
LITTLE BOVEY BRIDGE,283131,76722,Devon County Council
LITTLE BOVEY LEAT BRIDGE,283215,76805,Devon County Council
LOWER CATOR BRIDGE,268948,76432,Devon County Council
LOWER DUNSTONE BRIDGE,271785,75759,Devon County Council
LOWER HOOKNER BRIDGE,271698,82948,Devon County Council
LUSTLEIGH MILL BRIDGE,278440,81170,Devon County Council
MATFORD MILL BRIDGE,292575,89123,Devon County Council
MILL MEADOW BRIDGE,275416,70046,Devon County Council
NOGSLAND BRIDGE,283579,89478,Devon County Council
OLD BENEDICTS BRIDGE,281661,74588,Devon County Council
OLD BOW BRIDGE,279480,72415,Devon County Council
OLD CHULEY BRIDGE,275549,69423,Devon County Council
OLD KATE BRIDGE,287392,79654,Devon County Council
PEPPERDON HALL LANE BRIDGE,276686,85107,Devon County Council
PIZWELL BRIDGE,266992,77624,Devon County Council
POWDERHAM SAW MILLS BRIDGE,295733,84039,Devon County Council
POWDERHAM SAW MILLS OUTLET,295957,83974,Unknown
REX BRIDGE,268913,77194,Devon County Council
ROGUES ROOST BRIDGE,267595,74962,Devon County Council
ROLLS BRIDGE,289702,90977,Devon County Council
SANDUCK BRIDGE,276648,83519,Devon County Council
SHAPLEY BRIDGE,271688,83026,Devon County Council
SHALLOWFORD (EAST) BRIDGE,269287,75567,Devon County Council
SHALLOWFORD (WEST) BRIDGE,269256,75561,Devon County Council
SOUTH WOOD DRY BRIDGE,282814,86383,Devon County Council
SOWTON BRIDGE,283364,87431,Devon County Council
STADDON FORD FOOTBRIDGES,281316,91752,Devon County Council
STICKS END LANE BRIDGE,288791,81534,Devon County Council
STONE LANE CULVERT,282578,86116,Devon County Council
SWALLERTON GATE BRIDGE,274270,81061,Devon County Council
TOWSINGTON BRIDGE,293998,87300,Devon County Council
TWO STONES,290220,86678,Devon County Council
VENTON BRIDGE,271989,76616,Devon County Council
WATERLEAT BRIDGE,275308,71960,Devon County Council
WESTABROOK BRIDGE,276435,74842,Devon County Council
WHITE BRIDGE,293032,82605,Devon County Council
WILFORD BRIDGE,279852,79707,Devon County Council
ZEAL ROAD FORD F.B,281841,90021,Devon County Council
BELLAMARSH F.B.,285117,77410,Devon County Council
BONDHOUSE LANE BRIDGE,286846,92800,Devon County Council
CHRISTOW,283876,86725,Devon County Council
HISLEY,277993,80008,Unknown
IDE(RIVER),290391,90695,Unknown
JORDAN MILL,269960,75027,Devon County Council
KENTON,296280,83596,Devon County Council
LAWELL,286203,78526,Unknown
CLAM FB(LUSTLEIGH CLEAVE),276712,81094,Devon County Council
NETTON CLEAVE,282033,81898,Devon County Council
NORTH BOVEY,274294,83759,Devon County Council
PARKWAY MILL,286919,78990,Unknown
SHEPHERDS FORD,283474,90476,Unknown
ST ANDREW'S,275623,69740,Devon County Council
WRAYLAND,278668,81218,Devon County Council
COFTON (WESTWOOD),296614,80417,Devon County Council
SHUTTERTON,296600,78536,Devon County Council
STATION ROAD,296352,76627,Devon County Council
JUBILEE,296288,76657,Devon County Council
PELLEW SUBWAY,293934,72984,Devon County Council
TEIGNMOUTH RLY (WEST),293868,73022,Devon County Council
COUNTY GARAGE CULVERT,293319,73104,Devon County Council
SHALDON ARCH,293072,72952,Devon County Council
SHALDON,293094,72719,Devon County Council
EAGLE FARM UNDERBRIDGE,287064,74919,Devon County Council
COLLEY BROOK CULVERT,287092,74838,Devon County Council
LINDRIDGE LANE OVERBRIDGE,287202,74609,Devon County Council
RYDON CULVERT,287398,74326,Devon County Council
HUMBER LANE OVERBRIDGE,287731,73866,Devon County Council
COMBESEND ROAD FOOTBRIDGE,287942,73406,Devon County Council
WARE BARTON (EXETER) BRIDGE,287982,73047,Devon County Council
WARE BARTON (TORQUAY) BRIDGE,287974,72925,Devon County Council
HACKNEY LANE UNDERBRIDGE,287867,72513,Devon County Council
HACKNEY RAILWAY BRIDGE,287815,72396,Devon County Council
TEIGN ESTUARY VIADUCT,287704,72148,Devon County Council
QUEENSWAY SUBWAY,287188,70662,Devon County Council
STORES SUBWAY,287189,70606,Devon County Council
PARK LODGE SUBWAY,287116,70621,Devon County Council
PENGUIN SUBWAY,287102,70688,Devon County Council
BEERS CULVERT,288023,68754,Devon County Council
KINGSKERSWELL,288132,67819,Devon County Council
KINGSKERSWELL OVERBRIDGE,288148,67679,Devon County Council
NEWTON ABBOT STATION RLY (1),286765,70864,Devon County Council
PENNINN RIVER BRIDGE,287040,70697,Devon County Council
WARE BARTON CULVERTS,287962,72986,Devon County Council
WARE BARTON CATTLE CREEP,288595,72942,Devon County Council
STOVER,283410,74540,Devon County Council
BLATCHFORD,285009,72842,Devon County Council
DYRONS SUBWAY,285592,71647,Devon County Council
LITTLE LEMON CULVERT,285727,71329,Devon County Council
TUCKERS,285781,71294,Devon County Council
SHERBORNE ROAD CULVERT,285866,71383,Devon County Council
LEMON BRIDGE (THE AVENUE),286505,71640,Devon County Council
WAIN LANE SUBWAY,285374,71732,Devon County Council
ABBROOK BRIDGE,286229,74291,Devon County Council
THE FOUNTAIN,287020,73067,Devon County Council
ABBROOK,286994,74821,Devon County Council
ABBROOK CATTLE CREEP,286991,74812,Devon County Council
KINGSTEIGNTON BRIDGE,286546,72211,Devon County Council
WHITELAKE BRIDGE,286370,71835,Devon County Council
ALLER BROOK BRIDGE,287618,68929,Devon County Council
ARCH BROOK BRIDGE,290945,72043,Devon County Council
BICKLEY BRIDGE,286409,67374,Devon County Council
BOTTOM BRIDGE,285845,68654,Devon County Council
CANAL LOCK BRIDGE,285653,73312,Devon County Council
CHURCH STREET BRIDGE,295426,76794,Devon County Council
COLMANSFORD BRIDGE,289494,76459,Devon County Council
COMBEINTEIGNHEAD CULVERT,290149,71600,Devon County Council
FISHWICK BRIDGE,285934,73481,Devon County Council
GREENAWAY LANE BRIDGE,293939,79076,Devon County Council
HERO BRIDGE,286037,71390,Devon County Council
HIGHER HUMBER BRIDGE,289924,75404,Devon County Council
LANGFORD BRIDGE,287182,69075,Devon County Council
LOWER LODGE BRIDGE,284906,73813,Devon County Council
MADDACOMBE BRIDGE,286564,67686,Devon County Council
MARSDON FARM BRIDGE,290171,76936,Devon County Council
NETHERTON CULVERT,289211,71310,Devon County Council
RIXEYPARK BRIDGE,284946,76345,Devon County Council
SANDYGATE BRIDGE,286794,74823,Devon County Council
STONELANDS BRIDGE,295032,76748,Devon County Council
TEIGN BRIDGE,285896,73454,Devon County Council
TEIGNBRIDGE CROSSING ARCH,285608,73281,Devon County Council
VENTIFORD BRIDGE,284772,74754,Devon County Council
ALBANY ROAD BRIDGE,286184,71435,Devon County Council
ALEXANDRA ROAD BRIDGE,295904,76677,Devon County Council
BROCKS FARM BRIDGE,284427,75698,Devon County Council
BROOKEADOR,287749,68063,Devon County Council
CHERCOMBE BRIDGE,283308,71078,Devon County Council
COMBESEND ACCESS CULVERT,288328,73204,Devon County Council
DACCA BRIDGE,287810,67701,Devon County Council
FOSTERVILLE BRIDGE,286489,76162,Devon County Council
HAMBLECOMBE BRIDGE,290251,77068,Devon County Council
HIGHER COOMBE BRIDGE,293067,74133,Devon County Council
MANOR ROAD BRIDGE,284889,71374,Devon County Council
MARSH (LEMON ROAD) BRIDGE,286360,71446,Devon County Council
MORLEY BRIDGE,282737,71294,Devon County Council
RIXDALE BRIDGE,294482,77795,Devon County Council
ROCKYHILL BRIDGE,290156,76874,Devon County Council
VENTIFORD COTTAGES,284741,75238,Devon County Council
WESTON BRIDGE,294206,78699,Devon County Council
BAKERS BRIDGE,285289,70974,Devon County Council
BRADLEY MANOR,284777,70735,Devon County Council
PRESTON,285559,74564,Devon County Council
UNION,285674,71256,Devon County Council
BLACKPOOL,285263,47881,Devon County Council
TORCROSS,282252,42025,Devon County Council
LITTLE FROGMORE CULVERT,277589,42676,Devon County Council
NEW BRIDGE BOWCOMBE CREEK,274533,43153,Devon County Council
AVETON GIFFORD BRIDGE,269281,47000,Devon County Council
AVETON GIFFORD MILL LEAT,269292,47200,Devon County Council
HELLIERS BRIDGE,268951,49167,Devon County Council
STOLIFORD BRIDGE,266391,50920,Devon County Council
SWANBRIDGE CATTLE CREEP,265779,51252,Devon County Council
EDMESTON BRIDGE,264277,51808,Devon County Council
BICKLEIGH COPSE SHEEP CREEP,277802,53855,Devon County Council
CHITTLESFORD,278404,54626,Devon County Council
HARBERTONFORD BRIDGE,278426,56152,Devon County Council
LOWER COLLAPARK BRIDGE,279812,60617,Devon County Council
COLLAPARK RAILWAY BRIDGE,279816,60656,Devon County Council
BOURTON BRIDGE,280822,61078,Devon County Council
GATCOMBE BRIDGE,281790,62570,Devon County Council
BOW RIVER BRIDGE,283541,65020,Devon County Council
PRIORY NEW BRIDGE,280451,60636,Devon County Council
SHINNERS BRIDGE,278717,62190,Devon County Council
HOOD BRIDGE,277140,63617,Devon County Council
RIVERFORD BRIDGE,277183,63733,Devon County Council
DART CROSS CULVERT,274548,66807,Devon County Council
RATTERY CORN MILL BRIDGE,273217,60618,Devon County Council
HATCHLAND ARCH CULVERT,274089,60444,Devon County Council
TIGLEY BRIDGE,276010,60841,Devon County Council
YARNER BRIDGE,278257,61894,Devon County Council
MALT MILL BRIDGE,280627,60315,Devon County Council
TOTNES BRIDGE,280674,60299,Devon County Council
ELWELL CULVERT,282555,60275,Devon County Council
ELWELL BRIDGE,282616,60259,Devon County Council
LODDISWELL NEW,271902,47609,Devon County Council
COMBE CROSS RLY BRIDGE,273517,45166,Devon County Council
DARTMOUTH NORTH EMBANKMENT,287879,51381,Devon County Council
FORE STREET FOOTPATH,288297,51104,Devon County Council
HAWKES CORNER,288376,51156,Devon County Council
GARA BRIDGE,272892,53452,Devon County Council
GARA FLOOD ARCH,272930,53439,Devon County Council
COCKS BRIDGE,273165,53163,Devon County Council
AVONWICK RIVER BRIDGE,271548,58288,Devon County Council
SANDWELL BRIDGE,275722,59798,Devon County Council
STATION CROSS RAILWAY,268346,57825,Devon County Council
BITTAFORD BRIDGE,266578,56961,Devon County Council
AFTON BRIDGE,284212,62606,Devon County Council
ALLERTON BRIDGE,277052,61702,Devon County Council
ASHFORD,268820,48609,Devon County Council
AUSTINS BRIDGE,275010,65960,Devon County Council
BADWORTHY,268543,61814,Devon County Council
BENEKNOWLE BRIDGE,271790,57617,Devon County Council
BICKHAM BRIDGE,272585,55386,Devon County Council
BLANKSMILL,272667,40990,Devon County Council
BOW ASHPRINGTON,281227,56574,Devon County Council
BOW BLACKAWTON,280712,49377,Devon County Council
BOW CROSS,280145,65067,Devon County Council
BRENT MILL BRIDGE,269745,59554,Devon County Council
BRENT MILL NEW BRIDGE,269751,59512,Devon County Council
BROWNSTON,269714,52731,Devon County Council
BUMPSTON BRIDGE,277453,65070,Devon County Council
CAPTON BRIDGE,282779,53180,Devon County Council
CASTLEFORD BRIDGE,284150,65289,Devon County Council
CHURCH BRIDGE,274182,66165,Devon County Council
COLLAPIT,272832,42137,Devon County Council
CULLAFORD BRIDGE,270830,67981,Devon County Council
DAMARELL,274127,66117,Devon County Council
DART BRIDGE,274451,66721,Devon County Council
DEAN BURN BRIDGE,273278,65126,Devon County Council
DEER BRIDGE,281316,44547,Devon County Council
DIDWORTHY BRIDGE,268282,62120,Devon County Council
EAST CORNWORTHY,284660,54995,Devon County Council
EMBRIDGE,284975,48878,Devon County Council
FISHACRE BRIDGE,281891,64444,Devon County Council
FISHACRE COTTAGE BRIDGE,281897,64413,Devon County Council
FLEAR MILL,276550,46132,Devon County Council
FORDER,281194,48960,Devon County Council
FORDER BROOK CULVERT,267055,56744,Devon County Council
FROGMORE BRIDGE,277524,42618,Devon County Council
GARA MILL,281761,47964,Devon County Council
GATCOMBE BRIDGE,282154,62499,Devon County Council
GIDLEY BRIDGE,270315,63784,Devon County Council
GLADRIDGEFORD,276641,65774,Devon County Council
GLAZEBROOK BRIDGE,269051,59044,Devon County Council
GLAZEBROOK LODGE BRIDGE,269201,58967,Devon County Council
GLAZEBROOK NEW BRIDGE,269409,58973,Devon County Council
GOUTSFORD,263664,51567,Devon County Council
GREAT COMBE,284053,48735,Devon County Council
HARBOURNEFORD BRIDGE,271779,62326,Devon County Council
HAREDON CULVERTS,267465,55336,Devon County Council
HATCH BRIDGE,271423,47244,Devon County Council
HIGHER BUCKFAST MILL LEAT,273894,67457,Devon County Council
HIGHER TOWN BRIDGE,273596,66247,Devon County Council
HILLFIELD,283061,50919,Devon County Council
HUTCHERLEIGH,277900,50453,Devon County Council
JUBILEE,265945,51132,Devon County Council
KNAP MILL,270775,47368,Devon County Council
KNODDY,278031,62322,Devon County Council
LANGAFORD,270749,68601,Devon County Council
LITTLEHEMPSTON BRIDGE,281328,62745,Devon County Council
LEIGH BRIDGE,276925,58412,Devon County Council
LONCOMBE BRIDGE,283645,59707,Devon County Council
LONGFORD BRIDGE,281213,64277,Devon County Council
LOWER DEAN NORTH ARMCO,273328,65028,Devon County Council
LOWER DEAN SOUTH ARMCO,273313,64942,Devon County Council
LOWER DEAN SIDE,273098,64753,Devon County Council
LYDIA,269573,60667,Devon County Council
MALTHOUSE BRIDGE,277615,42611,Devon County Council
MILLCOMBE,280272,49899,Devon County Council
MILL LEAT 1,278407,63769,Devon County Council
MILL LEAT 2,278424,63755,Devon County Council
MORLEIGH BRIDGE,277528,52986,Devon County Council
NETHERTON,278169,63687,Devon County Council
OLD FORGE BRIDGE,277773,58500,Devon County Council
ORCHETON MILL BRIDGE,263556,49947,Devon County Council
PEEKMILL BRIDGE,266018,55878,Devon County Council
POOLE BRIDGE,282147,66165,Devon County Council
POOLE CROSS BRIDGE,282083,66153,Devon County Council
POORMANS,272520,64730,Devon County Council
PORDS BRIDGE,285721,57551,Devon County Council
PORT BRIDGE,278885,65973,Devon County Council
PRIDHAMSLEIGH CULVERT,274805,67707,Devon County Council
RANSCOMBE BRIDGE,275709,44932,Devon County Council
ROLSTER,277093,56284,Devon County Council
SECCOMBE,279979,49881,Devon County Council
SHEEPHAM BRIDGE,265541,52683,Devon County Council
SHILSTON BRIDGE,267116,53005,Devon County Council
SHIPLEY BRIDGE,268094,62872,Devon County Council
SILVERHEAD BRIDGE,281459,62695,Devon County Council
SLAPTON BRIDGE,282799,44376,Devon County Council
SOUTH MILTON,269972,42718,Devon County Council
SOUTH POOL BRIDGE,277446,40094,Devon County Council
STAVERTON BRIDGE,278469,63719,Devon County Council
STIDSTON BRIDGE,271256,60288,Devon County Council
STRETCHNEY BRIDGE,272432,55186,Devon County Council
STRODE BRIDGE,274291,66130,Devon County Council
STRODE FLOOD BRIDGE,274277,66123,Devon County Council
STRODE ROAD BRIDGE,273648,65753,Devon County Council
THE PLAINS BRIDGE,274041,61660,Devon County Council
TOLLDITCH BRIDGE,276540,48736,Devon County Council
TOPSHAM BRIDGE,273256,51149,Devon County Council
TWO BRIDGES (AM BROOK),281609,63814,Devon County Council
TWO BRIDGES HEMS,281589,63798,Devon County Council
WARM,272808,64878,Devon County Council
WASHBOURNE,279777,54783,Devon County Council
WASHWALK,279280,50463,Devon County Council
WEREDOWN,267759,47355,Devon County Council
WHITECLEAVES (MAIN),273774,65833,Devon County Council
WOODFORD,279785,50955,Devon County Council
WRINKLEY CULVERT,273002,48261,Devon County Council
WRINKLEY RAILWAY,272929,48211,Devon County Council
ZEAL,267915,62440,Devon County Council
ABHAM,277623,64383,Devon County Council
ALLERON,270876,49737,Devon County Council
BARBERRY WATER,283606,54448,Devon County Council
BEENLEIGH,279746,56607,Devon County Council
BICKLEY MILL,286381,66322,Devon County Council
BILBERRYHILL,272781,66682,Devon County Council
BITTAFORD,266572,57027,Devon County Council
BOURTON,281142,61059,Devon County Council
BOWCOMBE,275035,44387,Devon County Council
BROOKING FORD FB,275594,60876,Devon County Council
BROOKMILL,272434,67490,Devon County Council
BRUSHFORD,272045,57127,Devon County Council
BURNE,279851,71059,Devon County Council
CHARFORD,272199,58352,Devon County Council
COBBERTON,275733,60848,Devon County Council
COMBE,270309,68100,Devon County Council
COTTLASS FARM,264422,51229,Devon County Council
DADBROOKE BRIDGE,272312,64316,Devon County Council
DALLACOMBE,280930,49673,Devon County Council
DIPFORD CLAM,272399,56448,Devon County Council
EARLSCOMBE,265692,55405,Devon County Council
FLEAR,276643,46444,Devon County Council
FORD BRIDGE,281540,63847,Devon County Council
HAWSON BRIDGE (MILL LEAT),271232,68431,Devon County Council
HEMBURY BRIDGE,273091,67728,Devon County Council
HIGHER BADWORTHY,268112,61608,Devon County Council
HOLBEAM MILL BRIDGE,283172,71061,Devon County Council
HOLY BROOK BRIDGE,270239,68757,Devon County Council
IDSTON,270942,48660,Devon County Council
KINGSBRIDGE OLD RAILWAY BRIDGE,273254,44777,Devon County Council
LANGFORD BRIDGE,275857,58984,Devon County Council
LANGLAND BRIDGE,270567,50557,Devon County Council
LITTLE SHINNERS,278788,62151,Unknown
LODDISWELL MILL,272702,48222,Devon County Council
LOWER NORRIS BRIDGE,271367,55956,Devon County Council
LOWNARD BRIDGE,278190,62192,Devon County Council
LUDBROOK MILL BRIDGE,266053,54272,Devon County Council
LUDBROOK SMITHY BRIDGE,265855,54311,Devon County Council
MALSTON MILL,276043,45432,Devon County Council
METLEY MOOR BRIDGE,281619,70144,Devon County Council
MICHELCOMBE BRIDGE,269667,68962,Devon County Council
MONKEY OAK,277109,56636,Devon County Council
NETHERTON BRIDGE,282586,62446,Devon County Council
NEW MILL,271975,47819,Devon County Council
NEWHOUSE BARTON BRIDGE,282574,64853,Devon County Council
NORTH MILL BRIDGE,282500,47649,Devon County Council
OLD BRIDGE,271278,58435,Devon County Council
OLD FORGE BRIDGE,277871,58563,Devon County Council
OLD MILL CREEK,286169,51942,Devon County Council
OLD MILL WOODLEIGH,273346,48325,Devon County Council
OWLEY BRIDGE,267716,59926,Devon County Council
PACK HORSE,281448,62689,Devon County Council
PENNATON BRIDGE,268444,59292,Devon County Council
RATTERY MILL BRIDGE,273292,60563,Devon County Council
RECTORY CROSS NORTH BRIDGE,270785,56714,Devon County Council
RECTORY CROSS SOUTH BRIDGE,270775,56700,Devon County Council
SOUTH MICHELCOMBE BRIDGE,269706,68917,Devon County Council
STATION ROAD BRIDGE,280402,60633,Devon County Council
SWAN BRIDGE,265592,51247,Devon County Council
TOWN MILLS BRIDGE,279272,63769,Devon County Council
TREHELE,267174,51227,Devon County Council
TUCKENHAY BRIDGE,281830,56043,Devon County Council
TUCKENHAY MILL BRIDGE,281751,55883,Devon County Council
WARFLEET ARCH,288119,50350,Devon County Council
WASH BRIDGE,276831,65481,Devon County Council
WATERHEAD,268878,47688,Devon County Council
WAYESFORD (LITTLE WOODLAND),277855,67496,Devon County Council
WOODLEIGH,274277,48678,Devon County Council
WRENFORD BRIDGE,278048,61625,Devon County Council
YEO BRIDGE,275845,59486,Devon County Council
YOLLANDBROOK BRIDGE,267317,56821,Devon County Council
ZEMPSON BRIDGE,271260,62704,Devon County Council
BELSFORD MILL FB,277085,58614,Devon County Council
BOWCOMBE CREEK FB,274848,44113,Devon County Council
HILLAH WOOD FB,272785,66786,Devon County Council
LEFT LAKE TRAMWAY BRIDGE,264670,63452,Unknown
LITTLEHEMPSTON,281252,62567,Unknown
MILLCOMBE FB,280156,49914,Devon County Council
QUIRKHILL,291722,112682,Devon County Council
PALMER'S (BRADLEY),289572,112467,Devon County Council
EDGEWORTHY,284182,113748,Devon County Council
LAPFORD RIVER,272655,108033,Devon County Council
BURY,273772,106790,Devon County Council
BURY LEAT,273774,106751,Devon County Council
BRADIFORD,274547,105693,Devon County Council
UNION,275191,104748,Devon County Council
WOOLFIN,275418,104450,Devon County Council
DOWNES,285278,99402,Devon County Council
CODSHEAD,285624,99104,Devon County Council
SMALLBROOK,286670,98623,Devon County Council
SHUTTERN,288104,97966,Devon County Council
THREE HORSE SHOES BRIDGE,290479,96119,Devon County Council
COWLEY (CREEDY) BRIDGE,290734,95499,Devon County Council
STOKE CANON BRIDGE,293789,97584,Devon County Council
BOW FLOOD RELIEF,271652,101745,Devon County Council
BOW RIVER,271725,101742,Devon County Council
CREEDY RIVER,284613,101154,Devon County Council
CREEDY MILL LEAT,284752,101198,Devon County Council
STOCKLEIGH BRIDGE,286807,103004,Devon County Council
DART BRIDGE,293599,107603,Devon County Council
YEO NEW BRIDGE,273183,105350,Devon County Council
ALLER BROOK,270562,106708,Devon County Council
BALL HILL BRIDGE,288066,107779,Devon County Council
BERRY'S BRIDGE,292230,101162,Devon County Council
BINNEFORD BRIDGE,276020,96852,Devon County Council
BINNEFORD HILL BRIDGE,282967,107587,Devon County Council
BOWERHAY BRIDGE,282770,108755,Devon County Council
BUGFORD RIVER,273706,107313,Devon County Council
BULLOWBROOK,267247,106989,Devon County Council
BURN BRIDGE (CADBURY),291254,107079,Devon County Council
BURN BRIDGE (HORETHORNE),293406,107806,Devon County Council
CALVES,274922,108718,Devon County Council
CAMPS,286699,99682,Devon County Council
CODDIFORD,286641,107220,Devon County Council
COLEFORD RIVER,277235,101096,Devon County Council
COLUMBJOHN,295787,99744,Devon County Council
COPPLESTONE HOUSE,277100,101912,Devon County Council
COTT CROSS,268299,111243,Devon County Council
CREDITON STATION LEAT,283898,99479,Devon County Council
CRUWYS MORCHARD MILL FORD FB,288948,112791,Devon County Council
CULM,294053,97997,Devon County Council
CULM (EAST OF),294153,97990,Devon County Council
CULVERY,283427,98593,Devon County Council
DINNEFORD,292403,102374,Devon County Council
EGGESFORD,268279,111429,Devon County Council
EGGESFORD FISH PASS,268313,111353,Devon County Council
FORDE CROSS,287841,105281,Devon County Council
FORDE CROSS (NORTH),287844,105298,Devon County Council
FORDTON,283994,99021,Devon County Council
FORDTON MILL LEAT,283925,99288,Devon County Council
GRANTLAND,287429,109086,Devon County Council
GREAT WOODEN,270514,103754,Devon County Council
HANDSFORD,273091,110440,Devon County Council
HAYNE,271720,103206,Devon County Council
HAYNE BRIDGE CULVERT,271725,103223,Devon County Council
HELE LANE,279488,110717,Devon County Council
HIGHER WATERHOUSE,288153,108326,Devon County Council
HOLLOCOMBE (BRIDGE REEVE),266179,113451,Devon County Council
HOLLY WATER,285581,106254,Devon County Council
HORWELL,276038,100219,Devon County Council
HUXHAM,294534,97951,Devon County Council
JACKMOOR,290248,98781,Devon County Council
KENNERLEIGH,281894,106178,Devon County Council
KEYMELFORD IRISH,277785,99569,Devon County Council
KNIGHTY BRIDGE,275331,105104,Devon County Council
LAKE (B.SPEKE),292658,97834,Devon County Council
LAKE COTTAGES,287884,103974,Devon County Council
LANGFORD BRIDGE (BOW),272041,101099,Devon County Council
LANGFORD BRIDGE (N ST CYRES),290006,97984,Devon County Council
LANGFORD MOOR,271805,100030,Devon County Council
LITTLE SILVER,287073,101391,Devon County Council
LONG,288072,98670,Devon County Council
LOWER CREEDY,288084,98566,Devon County Council
MARSH FARM,286374,107636,Devon County Council
MEETFORD,281761,96455,Devon County Council
MILL BARN,281474,112351,Devon County Council
MILL BRIDGE (COLEBROOKE),277232,100434,Devon County Council
MOORACRE,283732,102271,Devon County Council
MOORLAKE,281242,99335,Devon County Council
NYMPHAYES,272697,105095,Devon County Council
PADDLEFORD,295212,99808,Devon County Council
PRESTON,284968,104807,Devon County Council
PRIORTON,283335,104123,Devon County Council
PRIORTON FLOOD ARCH,283336,104139,Devon County Council
PYNES,290624,95971,Devon County Council
SANDFORD,282941,102189,Devon County Council
SPIRELAKE,278205,105364,Devon County Council
THELBRIDGE,281923,104787,Devon County Council
THORVERTON,293590,101637,Devon County Council
THORVERTON MILL LEAT,293338,101649,Devon County Council
THORVERTON VILLAGE BRIDGE,292607,102102,Devon County Council
VENNHILL,277552,106030,Devon County Council
WEST HUXHAM,294280,98022,Devon County Council
WOOLFARDISWORTHY,283296,108562,Devon County Council
WORTHY,291746,110345,Devon County Council
YELLOWFORD,292530,100922,Devon County Council
YEOFORD FLOOD ARCH,278358,99007,Devon County Council
YEOFORD RIVER,278316,98803,Devon County Council
BEERFORD FOOTBRIDGE,271075,94580,Devon County Council
BINNEFORD FOOTBRIDGE,276033,96829,Devon County Council
BRIDGE HOUSE THORVERTON,292584,102115,Devon County Council
BUTSFORD BRIDGE,276351,100325,Devon County Council
CANNS MILL,278508,110482,Devon County Council
CHAWLEIGH WEEK CLAPPER FB,268329,113713,Devon County Council
COBBAFORD,271528,93189,Devon County Council
COLDRIDGE,268475,107872,Devon County Council
COMINS COPSE BRIDGE,283761,109655,Devon County Council
DART,292245,109358,Devon County Council
DOWRICH,282663,104601,Devon County Council
EAST FORD FOOTBRIDGE,278837,95402,Devon County Council
FOLLY,281684,99023,Devon County Council
FORD,279306,97405,Devon County Council
FORD CROSS,273421,93789,Devon County Council
FROGMILL,278678,94909,Devon County Council
GROUBEAR,290309,111885,Devon County Council
HASKE,284737,101278,Devon County Council
HAWKRIDGE,270562,108345,Devon County Council
HEATH,284420,104500,Devon County Council
HORRIDGE,278658,110535,Devon County Council
HYMET,270580,108288,Devon County Council
KNATHORN,276730,104604,Devon County Council
LAKE LANE,288187,103942,Devon County Council
LANGRIDGE,279162,96703,Devon County Council
LEY'S FARM,286767,107454,Devon County Council
LOWER CREEDY,283942,102391,Devon County Council
MILLMOOR,277075,97403,Devon County Council
NEOPARDY,279589,98787,Devon County Council
PARK MILL,269683,108614,Devon County Council
PENSTONE,277384,100339,Devon County Council
PENSTONE FOOTBRIDGE,277565,100172,Devon County Council
RUXFORD,281247,102318,Devon County Council
SALMONHUTCH LEAT,282718,98981,Devon County Council
SHOBROOKE MILL,286866,100169,Devon County Council
SMITHINGTON LINHAY,270765,111057,Devon County Council
STONE MILL,271992,113107,Devon County Council
ST SWITHINS,282701,102537,Devon County Council
TEIGNHOLT FOOTBRIDGE,273551,97080,Devon County Council
TOATLEY,271019,110533,Devon County Council
TOWN MILLS,283010,102169,Devon County Council
THORVERTON STATION,293259,101589,Devon County Council
TRONEY,277079,98485,Devon County Council
UPHAM CHAPEL,288229,108243,Devon County Council
VENBRIDGE,277393,93935,Devon County Council
VENNLAKE,271421,101979,Devon County Council
WEEK,273165,104499,Devon County Council
WEST FORD FOOTBRIDGE,273331,93746,Devon County Council
WEST HOLME,287691,97449,Devon County Council
