BRIDGE NAME,EASTING,NORTHING,OWNER
BONDLEIGH WOOD BRIDGE,265610,104360,Devon County Council
BRIGHTLY,259869,97438,Devon County Council
BROOMHILL,251395,98047,Devon County Council
BURDON CROSS,248095,103714,Devon County Council
CASTLEFORD BRIDGE,258651,94702,Devon County Council
CORYTON MILL,246291,83232,Devon County Council
COX MOOR FORD FOOTBRIDGE,270007,99600,Devon County Council
CROWDEN,249296,99775,Devon County Council
DASHLY,261255,105996,Devon County Council
DEEPLANE,258545,98186,Devon County Council
EAST PULWORTHY,252682,104328,Devon County Council
FINGLE,274309,89942,Devon County Council
FORDA,253192,90787,Devon County Council
FORDER,267091,89628,Devon County Council
FORDS CLEAVE,258763,106713,Devon County Council
FOXCOMBE ALDER,247808,87338,Devon County Council
FRANKLAND FORD BRIDGE,262891,102336,Devon County Council
GREAT WEEK BRIDGE,271632,87668,Devon County Council
HIGHBURY,267792,88501,Devon County Council
HONEYCHURCH,263078,102779,Devon County Council
ITTON QUARRY BRIDGE,267772,98964,Devon County Council
JACOBSTOWE MILL LEAT,259163,101779,Unknown
JACOBSTOWE OLD,259204,101799,Devon County Council
JURSTON,269765,85006,Devon County Council
KIMBER HILL,247798,98442,Devon County Council
KITFORD,260813,105854,Devon County Council
LEIGH,268327,87640,Devon County Council
LEW MILL,246891,86161,Devon County Council
LIFTON,238911,84818,Devon County Council
LINGCOMBE,268927,84711,Devon County Council
LOWER MADDAFORD,254512,94801,Devon County Council
LOVELAND,248511,98690,Devon County Council
MARYSTOW,243486,83293,Devon County Council
MELDON,255882,92179,Devon County Council
METHERALL,267519,84104,Devon County Council
MILLBROOK,255641,99193,Devon County Council
MOORLANDS BRIDGE,265047,93252,Devon County Council
NARRACOTT,260318,102869,Devon County Council
NORLEIGH,255121,100172,Devon County Council
NORLEY,250047,99898,Devon County Council
OATNELL,251532,92324,Devon County Council
OXENHAM,266702,93954,Devon County Council
PASSAFORD FOOTBRIDGE,254111,103601,Devon County Council
PATCHMILL MILL,244834,89272,Devon County Council
PATCH MILL CULVERT,244748,89207,Devon County Council
POLEHAYES,247157,98988,Devon County Council
PROVIDENCE HILL,267823,89000,Devon County Council
PULWORTHY,251244,103893,Devon County Council
RAMSLEY BRIDGE,264920,92960,Devon County Council
ROWDEN,264612,98717,Devon County Council
RUTLEIGH,251413,100783,Devon County Council
SHELLY HAM,266125,94079,Devon County Council
SILKHOUSE F.B.,271033,91793,Devon County Council
SOUTHDOWN,260564,104547,Devon County Council
SOUTH TAWTON MILLS,265769,94400,Devon County Council
SPLATT MILL,243078,82505,Devon County Council
STENTE FORD,265425,93808,Devon County Council
SYDENHAM BRIDGE,242877,83886,Devon County Council
TAW GREEN,265369,96910,Devon County Council
THORN IRISH AND FOOT BRIDGES,269447,98627,Devon County Council
THRUSHELFORD,244764,89117,Devon County Council
THRUSHELFORD FLOOD CULVERT,244743,89155,Devon County Council
TICHABROOK,249809,98894,Devon County Council
VETE MESSUAGE IRISH BRIDGE,273603,91530,Devon County Council
VICTORIA,258923,94953,Devon County Council
WADLAND,250932,97303,Devon County Council
